8	2004	CEE	5135	10834	24391
9	2001	CEE	5154	9960	24164
5	2005	CEE	5206	10858	26466
6	2004	CEE	5234	9482	23418
7	2003	CEE	5238	9150	23505
5	2003	CEE	5240	11235	26247
3	2003	CEE	5255	12937	24416
2	2003	CEE	5292	9138	25425
10	2001	CEE	5300	9035	25092
7	2005	CEE	5322	12320	23370
12	2003	CEE	5328	10057	26348
1	2000	CEE	5388	11601	24513
5	2004	CEE	5404	11682	25046
2	2002	CEE	5419	12625	26325
4	2002	CEE	5430	12784	23989
9	2005	CEE	5431	8289	26488
11	2004	CEE	5448	10974	26431
9	2003	CEE	5502	11519	24432
3	2001	CEE	5556	11923	24880
1	2003	CEE	5583	12956	24554
9	2004	CEE	5622	11733	23450
7	2002	CEE	5650	12774	25562
12	2004	CEE	5804	10829	26527
12	2000	CEE	5809	11587	24252
8	2003	CEE	5839	9400	25193
7	2004	CEE	5870	11229	26363
5	2000	CEE	5886	9067	23822
12	2005	CEE	5950	11345	25978
10	2005	CEE	5992	8793	26061
2	2000	CEE	6115	10073	25467
10	2002	CEE	6130	11066	23330
12	2001	CEE	6154	12035	23563
5	2001	CEE	6168	8572	24413
1	2004	CEE	6188	10130	23504
2	2001	CEE	6216	10074	27008
10	2000	CEE	6236	11947	23979
11	2001	CEE	6266	10869	24265
6	2001	CEE	6295	11717	25813
6	2002	CEE	6296	8961	26131
11	2002	CEE	6309	9515	24152
2	2004	CEE	6314	10845	24619
9	2000	CEE	6342	11757	25765
8	2002	CEE	6362	9669	25508
6	2003	CEE	6411	10085	26668
7	2000	CEE	6449	11808	25196
3	2002	CEE	6452	10844	25052
1	2001	CEE	6544	11075	25183
12	2002	CEE	6560	8568	24265
11	2005	CEE	6591	12362	25841
8	2005	CEE	6605	11166	23952
3	2005	CEE	6615	12053	23891
3	2000	CEE	6625	12780	24985
10	2003	CEE	6661	9575	25264
7	2001	CEE	6698	11777	23997
5	2002	CEE	6734	11655	23764
10	2004	CEE	6772	9311	26842
1	2005	CEE	6803	11191	24626
8	2001	CEE	6842	9707	25326
8	2000	CEE	6874	9448	23611
4	2005	CEE	6883	9681	23594
4	2003	CEE	6908	10291	26372
4	2004	CEE	6939	9175	25019
3	2004	CEE	6958	9247	26534
9	2002	CEE	6971	11904	26501
2	2005	CEE	6972	11834	26859
6	2005	CEE	6996	8410	25217
11	2000	CEE	7039	12845	26748
1	2002	CEE	7039	11233	23564
4	2000	CEE	7092	10652	26927
11	2003	CEE	7095	11327	23297
6	2000	CEE	7125	10417	24185
4	2001	CEE	7209	8581	25450
4	2000	AME	9798	15011	29802
3	2005	AME	9813	13472	31587
7	2002	AME	9826	13442	33707
10	2003	AME	9829	13861	30523
10	2000	AME	9878	13557	34789
7	2004	AME	9880	15061	30355
